,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,place,square
26,parle,speak
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,façon,way
42,dont,whose
43,trouve,find
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,devant,in front of
60,vers,towards
61,minutes,minutes
62,demandé,request
63,chambre,bedroom
64,mis,placed
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
69,mari,husband
70,cause,cause
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
86,plutôt,rather
87,aura,will have
88,filles,girls
89,jouer,to play
90,bureau,office
